,AuthenticateCount,ActiveCount,DisconnectCount,CPUUtil,MemoryUsed,MemoryFree,TempMin,TempMax,TempAvg,InBandwidth,OutBandwidth,InTotalPPS,OutTotalPPS
MIN,0.0,8981.0,0.0,3.0,1724040000.0,5284508000.0,25.0,45.0,37.5,0.0,0.0,0.0,0.0
MAX,8.0,30876.0,9.0,27.0,1899884000.0,5687076000.0,35.0,55.0,46.41666666666666,1292182536.834267,1322208785.8602262,2152700.408281706,1505007.368453061
STDEV,1.863524524101106,4894.226058054856,2.1968215743072634,4.389867000100582,28556025.41163911,59332539.00904562,1.6504777855857373,1.60934239315283,1.550551507416524,358733720.23284,366891151.8239416,419691.4497180223,418679.1523754617
MEAN,2.8356786200635495,22219.97421697685,3.594280526554698,14.896958692691785,1827934588.1071267,5425739114.661825,29.582387653200183,49.67035860190649,41.624117938348526,607839567.0657892,638420689.6769382,734336.3990427818,738916.1555126566
MEDIAN,3.0,23023.0,3.0,15.0,1831536000.0,5416788000.0,29.0,49.0,41.41666666666666,660120094.2382097,738472548.0592383,813648.8264845731,842704.0972448314
MODE,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0
1stQuantile,1.0,17170.0,2.0,12.0,1811708000.0,5401492000.0,28.0,48.0,40.41666666666666,247599821.8035289,264854364.97505486,307437.08958242385,310304.70322165615
3rdQuantile,4.0,26250.0,5.0,18.0,1841762000.0,5468802000.0,31.0,51.0,42.75,923738160.7202203,948950700.4582255,1096974.6534693874,1096668.093661054
